scrapedAt,page,postUrl,timestampText,exactDate,reactions,reactionsBreakdown,comments,shares,text
2026-08-12T23:02:55.789140+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid0sRUtrRzRaEwKmzprwNkxN8K2QWZ44Pmsp4hoqzjFHsuK6wqJ1jT9Er596YTZSLpzl?__cft__[0]=AZbG4Fpw9Km-4MNqdean5MlBTmiY1-JWdYZB4SaNFF-dkGF8uxiRwM_i_cl2JkKw3YyTSvccIwhLW59P3bYGtAGhGcItfqJ9fqPFOYdhc-8anLsaoP51dxmd-CCOsJYrr2h8qB0Y9HgPgQDo_SQtGz8QNt5LaxGTVLXnWS-MSj8ACo5nQDsYDC3pM5QBdAfBoAE,,2026年8月12日 星期三下午10:00,0,,,,國票金12日召開臨時董事會，通過今年股利配發時程，現金股利預計於9月16日發放。本次每股配發現金股利0.5元、股票股利0.089元，合計總股利為0.589元...
2026-08-12T23:02:55.789140+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid016BnY9oyAZfq72qVEtix2uv8jgYFEY3G9FpG3BmeXd3snbMmpZZw2BQwNCBjbMoBl?__cft__[0]=AZYrUGOjIeajhKcvt5ASic-mJqCO2NorIi-f8AjAHc2PeVas4DBwQTlJJj0PiiVC2VLD7_A6iNe_wTKV48CjlGXcDruJt23Z_GDyx_zjVTx2IDWA5lhPYg-coGFwcUL7RBrNEG28ovvVg5O3imaiV6zipe5gFvRSf-bevnc-5pasNmXox124zZWJPJOMKZczuWw,,2026年8月12日 星期三下午9:30,0,,,,台灣大12日召開董事會，決議透過全資子公司「台信電訊」公開收購精誠資訊」普通股，目標增持至少39%股權...
2026-08-12T23:02:55.789140+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid02KUjN6x1iMSkEBCDtsYSnwWyFHMiNjBg2P6U5oKpAc4ZRBWUQRtWMXv8Xcp9f6TxKl?__cft__[0]=AZb7DXDrxar6R1EFJ5r-2g9_VyWm9ZGwkF_OnHMq276W8acBKgqNxeoDKDBUhah86t3ZFUovS85zno-gWM-WXOT4U1q1cUjw8_KqrK2mog1dsxMnHscUclvRWScI3SypfKatjB5GmLDCamRyV8MiJ50Wy1cRxEugPFgvXw_Hsu6E4dhnT40lt-ScFYDLLpj-vnE,,2026年8月12日 星期三下午8:58,0,,,,美國勞工部12日公布，7月消費者物價指數（CPI）從6月的月減0.4％升至月增0.1％，年增率為3.4％...
2026-08-12T23:02:55.789140+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid02zydbCK64m8XiTGeJYMLNeA269hkSbh4s82XhRhDDJHqMTPqYuHjkkSWjAMGHVvDXl?__cft__[0]=AZbTuiov84SkcRHNhX_X_Q8_urFHR1_e_EcGELu3eSpQbTmSxT8q10H2J1esx8t4KCLFKkbgLiKjreOVMQUVzeJ_mDmwmEEeWgC-q3Hhryzn_i5UNVw2jGHKwPwsQ3lfnSx5465i_71IFV8sRf_KeC0HpboSmPTVst7ydozlHfc-JkE5NJvSDv3IxLIULWuarAg,,2026年8月12日 星期三下午8:30,0,,,,根據Counterpoint Research報告顯示，長江存儲市占率升至14％，首度躍居第三，小幅超越鎧俠，美光則排名第五...
2026-08-12T23:02:55.789140+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid0341MJ8QTSWQDVFKMoMz3cc1ocGJvxoR8F1JesrA6RRiddU85M9XjfLXD9sRWfXo4jl?__cft__[0]=AZbBz86fHcQ3Y58WkQnKoQNGNNQPd8jhVBloodpE5R76NDmSuCrgyVr1cUATXzSi0O1x2MyJW3Fk0atv0sy26_n7rPrcTypqtnLXpEpjO6uWVAwyVIpdf6_iyFgC0YklFAPmQmn-R61TEDUr9FeHrEEOk44XUtCuF_mCiKLJHSIR7dtuosvdjONNqgCuuhnmUZI,,2026年8月12日 星期三下午8:00,0,,,,今（12）日力積電、仁寶、合晶等個股在買氣爆棚下放量上漲，反觀臻鼎-KY、晟德等個股殺聲隆隆出現賣壓湧現走勢...
2026-08-12T23:02:55.789140+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid02w3bqLNqkAUtpVWcw9VidEg3ndWDjGLQQXeamg116ypNKGjFrgjPe3VAaWBervGyzl?__cft__[0]=AZbHtaxyZVG-0_UW_32VAC6CVcj0uNoiCDNesvRv-OTTDkz2Fqgsc4wtjp94kJIhBCMbf98s0apq8AXUR5hV7KPvRXaIUQckJyhsn8-nfElOKxLokJF13KhKICNSQZhmGk4AJC5gsIucbwQmb-kHQfg50yG9vdKmODUoidj1QYBV3ziXDpQrn12Iymr_1Z2iAz4,,2026年8月12日 星期三下午7:30,0,,,,新台幣兌美元同步走揚，早盤一度觸及32.1關卡、升值5.3分，但連二日盤中站上32.1元後得而復失..
2026-08-12T23:02:55.789140+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid02LUB9TZ1Ag92US6NbjY5WjTJWwyR4opKd7pYQ2tWQmYTzfLvmYQMcSZ8xQMxKBkmXl?__cft__[0]=AZbTW4FRpNv0GMs1ZoNLohKI5C56p-P0I22lR8V1ecNs_gjPG30dFdFCrUOD70yomiXTorg2f36PxamTD0PtJf7Dq_aXM_UlN9aHDn16X8xYS2Zqy5IYCX_RC-HiblW6LWuatgyL9ZQ5jvPwm3DuXAiR13w8INNypEuzDndm9NXZWrvjJ-68uhcbP6YEGjM30eA,,2026年8月12日 星期三下午7:30,0,,,,華碩第二季受惠AI伺服器及PC業務同步增長下，EPS 25.6元，同寫單季新高...
2026-08-12T23:02:55.789140+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid02aZis8ix2SuKrYzf6bLNu7e7NQ83TQ72FZv4y5RayZwZibYDokeYqJYqBAnTgXeKzl?__cft__[0]=AZbGpr-0V2Qgphiok_3iw7Ed3qkipgm2LnKcoyPEYPxDrKwdoCOmNRd7TmALyA3Des-Vj2yc7piPyYn_nDASE5A7F0qk75MEvdvWEZMTZOT9oaDf9il79RPypmOZrWxecd1LE5jlveCUtjl1Mmt0aEq50wUmCbGZIhqs2XywMULt8YC090Y9J6008KexXGTMhBw,,2026年8月12日 星期三下午7:00,0,,,,"【
#保險周報
】
✓ 外幣保單利率愈高愈好? 業者揭五大風險…… 
查看更多"
2026-08-12T23:02:55.789140+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid0mZcvzxttKoN56PEXydp6XX4i7SaoyjhsC8dw5Zemq42Gr3fbng3oYbayTWpX9Xtxl?__cft__[0]=AZYK-OLN4ol0Y6v9mnjMUmOh1XoX1bI9fYM2QtAppmHK-2IYm4VXVt2hWR5oO8C0Qr2T4ubYOrH8ysZ61g8r32fCYnc1j-_jlkux971hECsQmRMqLq8705aeQwMFL2YcnKvaO-x8VNg7R5MdKS5858FZ43HM4LqX3_Smoq3I4N-BPFa354C50lQ6QYhT4nieYF4,,2026年8月12日 星期三下午6:00,0,,,,"【台股逐洞賽│基本面抬頭 緊抱高成長主線擴大戰果】
今日盤面呈「強者恆強、轉機回升」的輪動節奏，建議操作上維持「重個股、輕指數」策略，緊抱高成長主線，保持操作彈性以擴大獲利戰果...…… 
查看更多"
2026-08-12T23:02:55.789140+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid02NUhkM2wo5qTn9PtoYaS9ZqJi97tzvnWsbxDhgsDx8FVM7PYXpb8CUHuvJs27nCTwl?__cft__[0]=AZYYHGyGL_4e9EmLKmqAsMt9PdR9XrdMGQJr4tZWXYlGSK_76ExYLYScl28wgU0pkxMuj1LTs9qJCZ2N3lZzFqCU2th8szcN35a4htMIywk4yjKMDbwKowPNGjbAKtnGnrA8ckej76rxmecf-8vS_Cb9jQesW4igzgjAS03jtnhwHFKDLUgdQwkPdr6JpkX5WaM,,2026年8月12日 星期三下午5:30,0,,,,超商據點密集，不少人網購、寄件常選擇就近店家取件，不過，7-11一項取件新規引發熱烈討論，有內部員工透露，未來0元包裹取貨必須在機台螢幕上簽名，瞬間掀起兩派網友論戰，不少人認為提升便利性又環保，卻也有人認為涉及隱私。
2026-08-12T23:02:55.789140+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid0TGeK43ePDXzF3LuVSgg6DvRcGCX8eKt8iscLd368kyccWUHZh2JBTi3rAenxrWapl?__cft__[0]=AZahS0L2BPoBsPDOLznCXmfnf_HyrE_xRPKoC5ABkg7R35cwTNIC6RI2sbduATZY6AwPplnhwcCRe2CuDUuu1GldGCL_Lb2p9C0nP34lQJHPSt8RL_pdH45-jEFm_7WlIC4wHUiw9hYOlO1uz6DSfFYfe0B-81YLf_8MIVEZe0Z8Nl1kJHoLVPyHQSbn5O6pE8o,,2026年8月12日 星期三下午5:00,0,,,,"韓媒引述相關政府部門的消息報導，新加坡主權財富基金淡馬錫控股已決定投資三星電子和SK海力士，並在近期與韓國政府接觸，以探詢進場時機，這將是淡馬錫首次投資韓國股市。…… 
查看更多"
2026-08-13T01:44:00.359359+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid023tFf9gwMSDBK8kGyR3ymY9HNayPLru6FSesdcmX2mB6HfWbxNLZsrrefmP8srCe6l?__tn__=%2CO,,,0,,,,MSCI明晟今（13）日公布最新季度調整，先前多次遭點名的南亞科（2408）這次終於進入全球標準指數台股成分股名單，連同華邦電（2344）、群聯（8299）等記憶體股一起上榜，景碩（3189）、南電（8046）、台燿（6274）也獲選，至於全球小型指數台股成分股則是新增波若威（3163）等23檔。
2026-08-13T01:44:00.359359+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid035UyJFJAkMC3dZSASymzSdQen4eBEziqUJifTkpoMF9FhT8eb2JCUr64spAfbRxv8l?__tn__=%2CO,,2026年8月13日 星期四上午8:44,0,,,,"【台股套牢賣壓區外資怎麼動？盤勢轉強先看三條件】
台股連三漲進入套牢賣壓區，但是外資現貨連三買、期貨連二賣淨空單，尤其新台幣出現轉升態勢，法人認為今年來已賣超台股高達1.58兆元的外資有望回頭，加上台指期淨空單仍多達8.6萬口，在19日台指期結算前，外資應不會有太大擴增空方部位的動作，對台股現貨不至出現明顯壓力。"
2026-08-13T01:44:00.359359+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid023HCQhsJoGLtfLKN5ev6noqtvmAAeFdBnVaxzfVzc4tH2yZdm3XQiLM2gKRumduKsl?__cft__[0]=AZb9KaUNeDjbovYfQOuSj9VEtRrvgQjcz4YKtVh0yD57u1qFjNT99t9YzQTMwfaqacoOlfSNOk2y70i73-fSXh61-mGO8Cl61UBJkW9OpBvYWl7MJ5NnXoPuIdUuC368sgWDXwA19CpMFegljeDSKjoIXLDZ0_nAQkEcd4lRGe9Uvvrfya4aFXxeWK9avvXFVSk,,2026年8月12日 星期三上午11:30,0,,,,"#名家評論
 主計總處日前公布薪資分布統計，逾7成勞工領不到平均月薪4.9萬元，這是第一次超過7成，換算成人數，高達600萬人的月薪不到4.9萬元，這代表工作貧窮（working poor）沒有收斂，反而升高，對於台灣經濟、社會都有極深的隱憂。"
2026-08-13T01:44:00.359359+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid035UyJFJAkMC3dZSASymzSdQen4eBEziqUJifTkpoMF9FhT8eb2JCUr64spAfbRxv8l?__cft__[0]=AZZlLUcrqxWytz5Z289zxTEqIj59Q5SS0jDe0472E9CIsavG_AZLcEht4kPQuzKp5BZ6Fwh--EGGp_gI6AnuYK4_alAg3KXqFrvF2yForTTlrYxgMSnNg02VlKi7CK6-vSiJvlrxw8uQiYATEkY0PLkS2M6HV_WCXl1CPZTLqZuOHcG66NIolFh-AsaPNHaxO6g,,2026年8月13日 星期四上午8:24,0,,,,"【台股套牢賣壓區外資怎麼動？盤勢轉強先看三條件】…… 
查看更多"
